Number,Question,StartTime,EndTime,BasePoints,AdditionalBonusPoints,AdditionalBonusInstructions
110,What is the MD5 hash of the executable uploaded?,0,1893456000,250,0,
114,What was the first brute force password used?,0,1893456000,250,0,
205,What is the name of the USB key inserted by Bob Smith?,0,1893456000,500,0,
200,What was the most likely IP address of we8105desk on 24AUG2016?,0,1893456000,50,0,
116,"What was the correct password for admin access to the content management system running ""imreallynotbatman.com""?",0,1893456000,1000,0,
115,One of the passwords in the brute force attack is James Brodsky's favorite Coldplay song. Hint: we are looking for a six character word on this one. Which is it?,0,1893456000,250,0,
117,"What was the average password length used in the password brute forcing attempt? (Round to closest whole integer. For example ""5"" not ""5.23213"")",0,1893456000,500,0,
101,What is the likely IP address of someone from the Po1s0n1vy group scanning imreallynotbatman.com for web application vulnerabilities?,0,1893456000,50,0,
103,"What content management system is imreallynotbatman.com likely using?(Please do not include punctuation such as . , ! ? in your answer. We are looking for alpha characters only.)",0,1893456000,50,0,
201,"Amongst the Suricata signatures that detected the Cerber malware, which one alerted the fewest number of times? Submit ONLY the signature ID value as the answer. (No punctuation, just 7 integers.)",0,1893456000,50,0,
202,What fully qualified domain name (FQDN) does the Cerber ransomware attempt to direct the user to at the end of its encryption phase?,0,1893456000,250,0,
118,How many seconds elapsed between the time the brute force password scan identified the correct password and the compromised login? Round to 2 decimal places.,0,1893456000,500,0,
204,"During the initial Cerber infection a VB script is run. The entire script from this execution, pre-pended by the name of the launching .exe, can be found in a field in Splunk. What is the length in characters of the value of this field?",0,1893456000,500,0,
206,Bob Smith's workstation (we8105desk) was connected to a file server during the ransomware outbreak. What is the IP address of the file server?,0,1893456000,50,0,
211,"Now that you know the name of the ransomware's encryptor file, what obfuscation technique does it likely use?",0,1893456000,1000,0,
209,The Cerber ransomware encrypts files located in Bob Smith's Windows profile. How many .txt files does it encrypt?,0,1893456000,250,0,
210,The malware downloads a file that contains the Cerber ransomware cryptor code. What is the name of that file? ,0,1893456000,250,0,
1,This is a simple question to get you familiar with submitting answers. What is the name of the company that makes the software that you are using for this competition? Just a six-letter word with no punctuation.,0,1893456000,50,0,
105,This attack used dynamic DNS to resolve to the malicious IP. What fully qualified domain name (FQDN) is associated with this attack?,0,1893456000,250,0,
102,"What company created the web vulnerability scanner used by Po1s0n1vy? Type the company name. (For example ""Microsoft"" or ""Oracle"")",0,1893456000,50,0,
104,"What is the name of the file that defaced the imreallynotbatman.com website? Please submit only the name of the file with extension (For example ""notepad.exe"" or ""favicon.ico"")",0,1893456000,250,0,
107,"Based on the data gathered from this attack and common open source intelligence sources for domain names, what is the email address that is most likely associated with Po1s0n1vy APT group?",0,1893456000,100,0,
108,What IP address is likely attempting a brute force password attack against imreallynotbatman.com?,0,1893456000,50,0,
112,What special hex code is associated with the customized malware discussed in question 111? (Hint: It's not in Splunk),0,1893456000,1000,0,
109,"What is the name of the executable uploaded by Po1s0n1vy? Please include file extension. (For example, ""notepad.exe"" or ""favicon.ico"")",0,1893456000,50,0,
113,"One of Po1s0n1vy's staged domains has some disjointed ""unique"" whois information. Concatenate the two codes together and submit as a single answer.",0,1893456000,500,0,
111,"GCPD reported that common TTPs (Tactics, Techniques, Procedures) for the Po1s0n1vy APT group, if initial compromise fails, is to send a spear phishing email with custom malware attached to their intended target. This malware is usually connected to Po1s0n1vys initial attack infrastructure. Using research techniques, provide the SHA256 hash of this malware.",0,1893456000,500,0,
208,The VBscript found in question 204 launches 121214.tmp. What is the ParentProcessId of this initial launch?,0,1893456000,50,0,
106,What IP address has Po1s0n1vy tied to domains that are pre-staged to attack Wayne Enterprises?,0,1893456000,500,0,
119,How many unique passwords were attempted in the brute force attempt?,0,1893456000,500,0,
203,What was the first suspicious domain visited by we8105desk on 24AUG2016?,0,1893456000,500,0,
207,How many distinct PDFs did the ransomware encrypt on the remote file server? ,0,1893456000,250,0,